studentId,status,finalScore,recommendation
S001,Success,7.25,"RECOMMENDED - Good enrollment potential."
S002,Success,7.25,"RECOMMENDED - Good enrollment potential."
S003,Success,7.25,"RECOMMENDED - Good enrollment potential."
S004,Success,7.25,"RECOMMENDED - Good enrollment potential."
S005,Success,7.25,"RECOMMENDED - Good enrollment potential."
S006,Success,7.25,"RECOMMENDED - Good enrollment potential."
S007,Success,7.25,"RECOMMENDED - Good enrollment potential."
S008,Success,7.25,"RECOMMENDED - Good enrollment potential."
S009,Success,7.25,"RECOMMENDED - Good enrollment potential."
S010,Success,7.00,"RECOMMENDED - Good enrollment potential."
S011,Success,6.75,"RECOMMENDED WITH MONITORING - Moderate enrollment potential."
S012,Success,6.75,"RECOMMENDED WITH MONITORING - Moderate enrollment potential."
S013,Success,7.00,"RECOMMENDED - Good enrollment potential."
S014,Success,7.00,"RECOMMENDED - Good enrollment potential."
S015,Success,7.00,"RECOMMENDED - Good enrollment potential."
S016,Success,6.50,"RECOMMENDED WITH MONITORING - Moderate enrollment potential."
S017,Success,6.50,"RECOMMENDED WITH MONITORING - Moderate enrollment potential."
S018,Success,6.50,"RECOMMENDED WITH MONITORING - Moderate enrollment potential."
S019,Success,6.75,"RECOMMENDED WITH MONITORING - Moderate enrollment potential."
S020,Success,6.75,"RECOMMENDED WITH MONITORING - Moderate enrollment potential."
S021,Success,6.75,"RECOMMENDED WITH MONITORING - Moderate enrollment potential."
S022,Success,6.75,"RECOMMENDED WITH MONITORING - Moderate enrollment potential."
S023,Success,6.50,"RECOMMENDED WITH MONITORING - Moderate enrollment potential."
S024,Success,6.75,"RECOMMENDED WITH MONITORING - Moderate enrollment potential."
S025,Success,6.75,"RECOMMENDED WITH MONITORING - Moderate enrollment potential."
S026,Success,6.75,"RECOMMENDED WITH MONITORING - Moderate enrollment potential."
S027,Success,6.75,"RECOMMENDED WITH MONITORING - Moderate enrollment potential."
S028,Success,7.00,"RECOMMENDED - Good enrollment potential."
S029,Success,7.00,"RECOMMENDED - Good enrollment potential."
S030,Success,6.75,"RECOMMENDED WITH MONITORING - Moderate enrollment potential."
